age,co2,co2_low,co2_high,xi_co2,omega_co2,alpha_co2
30,529,462,752,763.1933734,214.3821766,-2.155863521
30,570,496,826,840.4484519,245.1641941,-2.209498955
30,463,401,665,674.412901,194.6118653,-2.126476774
31,543,474,787,801.6015429,233.1706706,-2.240238036
32,1158,962,1678,1681.040182,511.9776376,-1.851645295
33,864,729,1253,1262.211871,379.5911257,-1.96054282
33,1326,1068,1992,1991.627778,657.705808,-1.81594224
33,832,698,1189,1191.428341,351.3312509,-1.857114054
33,809,681,1152,1154.784705,337.3391875,-1.864711969
33,1232,1019,1795,1797.809348,554.5410143,-1.846775514
34,1093,917,1568,1572.617416,466.7969757,-1.874058349
34,901,769,1268,1273.95418,359.4998753,-1.913174672
35,902,769,1270,1275.588917,360.6675727,-1.906807886
35,709,617,977,983.935418,261.2148102,-1.975056251
36,786,673,1101,1106.287184,308.4751238,-1.916640327
37,1321,1084,1941,1942.606654,611.3786718,-1.833297709
38,968,825,1365,1371.315994,388.9484865,-1.911236967
38,768,658,1074,1079.000191,299.7288517,-1.913893824
40,996,845,1413,1419.159603,408.7765144,-1.904267007
40,1480,1202,2215,2218.711982,723.93592,-1.847117662
40,670,570,780,722.629006,115.9187786,-0.600829036
41,1041,873,1496,1500.778313,446.9716226,-1.878654345
44,1176,987,1691,1697.102382,505.5778113,-1.886648598
56,500,450,550,500.1327496,50.27882537,-0.0033091
56,600,550,740,742.4818221,137.0345063,-1.922499857
91,860,750,975,901.8799351,119.821483,-0.452082187
94,1005,800,1200,927.141927,213.980046,0.471913512
134,1085,940,1225,1036.450271,150.5457519,0.415120488
154,975,650,1350,1182.471565,396.9195863,-0.705037885
2,358,340,375,350.8295549,18.82711458,0.49564583
2.7,276,260,292,276.0309282,16.08919777,-0.002409244
3.4,358,340,375,350.8295549,18.82711458,0.49564583
4,355,306,811,876.1782308,405.8001368,-3.844989929
4,363,345,380,355.8295549,18.82711458,0.49564583
4.6,270,255,285,270.0499175,15.08367762,-0.004147709
5.1,358,340,375,350.8295549,18.82711458,0.49564583
7.2,270,255,285,269.9555449,15.08366054,0.003693834
8.5,350,340,360,350.0111915,10.05573626,-0.001394874
10.5,370,350,390,369.9436631,20.11153896,0.00351083
12,468,382,661,653.7078701,193.6166979,-1.63585609
13.9,287,251,311,258.5721246,37.71531307,1.116480002
15.2,338,304,705,759.5363421,324.2086417,-4.142577133
15.3,338,304,705,759.5363421,324.2086417,-4.142577133
15.3,314,304,591,636.9628929,236.9721958,-6.397394679
15.7,555,371,788,708.6919067,246.7742652,-0.869416686
15.7,552,357,787,694.8109953,249.0451549,-0.786226619
15.8,564,350,793,660.9442468,240.1444204,-0.527917394
16.5,535,350,782,709.5616344,261.0079112,-0.951316532
34,672,448,896,671.2842208,225.2494897,0.003982702
37,746,497,995,746.6378947,250.3884903,-0.003192981
38,839,377,1431,1236.123314,626.7561038,-0.888262685
38,774,378,1424,1320.202156,675.1010087,-1.236323855
38,660,376,1384,1381.412713,715.9750666,-1.79968795
38,881,396,1435,1179.62875,586.0243864,-0.684661349
38,711,349,1423,1365.132262,725.0661785,-1.468262985
38,1024,544,1451,776.8466592,507.0933843,0.650721584
38,551,349,1310,1362.170954,721.1086128,-2.326255331
38,749,395,1416,1350.874862,682.5290392,-1.413701618
38,497,357,730,694.4194131,241.653284,-1.254365836
38,450,333,702,689.3141131,253.9895856,-1.58354995
42.9,768,512,1024,767.1673156,257.4280352,0.004054035
45,965,643,1286,918.4194339,326.5624777,0.179687869
47,908,605,1210,863.2509063,307.3906579,0.183428481
52.2,659,439,878,622.7574604,223.6021395,0.20449086
54,443,323,743,740.4823277,297.3197594,-1.774393724
54.1,327,314,475,497.254226,130.4234113,-4.253191096
54.1,515,341,775,719.6928092,272.480759,-1.111256819
54.5,378,328,713,755.042982,303.9297363,-3.238446016
55.4,479,337,745,718.412202,272.3701092,-1.406289335
55.8,667,393,802,412.1911644,278.0363821,1.508132156
55.9,307,294,330,327.148214,23.69957738,-1.333318829
55.9,307,294,330,327.148214,23.69957738,-1.333318829
55.9,307,294,330,327.148214,23.69957738,-1.333318829
55.9,520,348,775,719.4960901,267.4238186,-1.100529041
56,304,295,315,310.8574505,11.65755179,-0.810711108
56.2,313,301,325,313.0361233,12.06693008,-0.003751918
56.3,316,301,331,315.9619997,15.08364291,0.00315749
56.4,320,305,345,341.2001051,25.92461936,-1.256225486
56.5,315,302,328,315.032763,13.07249008,-0.003141138
56.5,318,302,334,317.9549204,16.08923118,0.003511611
56.5,318,302,334,317.9617126,16.0892136,0.002982516
57,469,340,739,722.9077138,273.0207758,-1.547162669
57.9,447,333,741,740.7690594,290.3690628,-1.814708513
59.1,535,365,777,717.7827082,254.6341645,-1.044167036
59.1,574,372,790,665.0841425,226.4744415,-0.525770665
61.5,317,308,330,326.9489599,13.66303436,-1.064584602
64.5,367,324,707,752.9819105,305.3096567,-3.53540794
64.6,330,317,448,464.7399435,105.1476294,-3.796448739
65,343,323,673,725.6433645,286.5643116,-5.080280291
65,470,327,757,735.766941,291.5988811,-1.493901944
66,539,340,786,697.0046535,261.7216234,-0.836711644
70.5,559,497,819,840.6044317,244.5495377,-2.486104343
71.1,568,508,836,860.237689,250.6923587,-2.580537052
71.7,572,491,938,971.5685949,342.0269169,-2.598025136
72.7,589,506,1020,1065.549527,398.2363982,-2.814211433
