"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","xi_co2","omega_co2","alpha_co2"
"151",285.8,NA,NA,774,"mean",465,1084,1,"skew_normal","paleosols","Monta_ez et al., 2007",819.428188262235,314.454273243517,-0.182014405676666
"152",285,NA,NA,792,"mean",460,1124,1,"skew_normal","paleosols","Monta_ez et al., 2007",793.503702216289,333.853622839034,-0.00564509410269909
"153",284.8,NA,NA,792,"mean",460,1124,1,"skew_normal","paleosols","Monta_ez et al., 2007",792.899985262794,333.851449918952,-0.00337865582388642
"154",284.5,NA,NA,824,"mean",480,1168,1,"skew_normal","paleosols","Monta_ez et al., 2007",824.911850361167,345.91831459413,-0.00330378562171701
"155",283.8,NA,NA,1012,"mean",604,1419,1,"skew_normal","paleosols","Monta_ez et al., 2007",957.54079855885,413.311412781848,0.165862055051705
"156",283.4,NA,NA,1100,"mean",679,1520,1,"skew_normal","paleosols","Monta_ez et al., 2007",1044.40049713538,426.421207029867,0.164114048113577
"157",282.4,NA,NA,899,"mean",566,1233,1,"skew_normal","paleosols","Monta_ez et al., 2007",946.718691371301,338.669664858217,-0.177475512501601
"158",281.1,NA,NA,1248,"mean",759,1737,1,"skew_normal","paleosols","Monta_ez et al., 2007",1249.46745217236,491.727387798342,-0.0037402607547517
"159",277.6,NA,NA,1237,"mean",788,1685,1,"skew_normal","paleosols","Monta_ez et al., 2007",1178.98357116847,454.655145185578,0.160584629779353
"160",210.7,211.9,209.5,111,"mean",56,222,1,"skew_normal","paleosols","Cleveland et al., 2008",214.005833555515,112.707540618353,-1.50095564587929
"161",211.8,214,209.5,544,"mean",272,1088,1,"skew_normal","paleosols","Cleveland et al., 2008",1047.07770182296,552.935856354354,-1.48947322328285
"162",211.8,214,209.5,643,"mean",322,1287,1,"skew_normal","paleosols","Cleveland et al., 2008",1239.26823770985,654.347641664281,-1.4934198196482
"163",210.7,211.9,209.5,13,"mean",6,25,1,"skew_normal","paleosols","Cleveland et al., 2008",23.3393413698167,12.4070226017252,-1.29272468381
"164",210.7,211.9,209.5,45,"mean",23,90,1,"skew_normal","paleosols","Cleveland et al., 2008",86.9690707116586,45.6226287817676,-1.51798650732631
"165",210.7,211.9,209.5,372,"mean",186,743,1,"skew_normal","paleosols","Cleveland et al., 2008",714.734374043724,377.209195024738,-1.48605767563231
"166",211.8,214,209.5,1667,"mean",833,3333,1,"skew_normal","paleosols","Cleveland et al., 2008",3206.96138858047,1693.59638297931,-1.48795089314832
"167",211.8,214,209.5,1702,"mean",851,3404,1,"skew_normal","paleosols","Cleveland et al., 2008",3275.96736857109,1729.95740352042,-1.48947322328285
"168",211.8,214,209.5,1596,"mean",798,3192,1,"skew_normal","paleosols","Cleveland et al., 2008",3071.94119873058,1622.21622562785,-1.48947322328285
"169",210.7,211.9,209.5,344,"mean",172,688,1,"skew_normal","paleosols","Cleveland et al., 2008",662.122664388158,349.65061504769,-1.48947322328395
"170",210.7,211.9,209.5,269,"mean",134,537,1,"skew_normal","paleosols","Cleveland et al., 2008",516.124134157161,272.631799578285,-1.48003880134107
"171",210.7,211.9,209.5,377,"mean",189,754,1,"skew_normal","paleosols","Cleveland et al., 2008",725.996809617657,383.077289132013,-1.49284329887277
"172",211.8,214,209.5,1443,"mean",721,2885,1,"skew_normal","paleosols","Cleveland et al., 2008",2775.81170083052,1465.91689050527,-1.48771457628897
"173",211.8,214,209.5,1191,"mean",596,2383,1,"skew_normal","paleosols","Cleveland et al., 2008",2294.04539001357,1211.34937266688,-1.49160393661782
"174",211.8,214,209.5,1349,"mean",674,2697,1,"skew_normal","paleosols","Cleveland et al., 2008",2594.88280946775,1370.37281557129,-1.48759203030263
"175",211.8,214,209.5,1678,"mean",839,3356,1,"skew_normal","paleosols","Cleveland et al., 2008",3229.7727640789,1705.56317456361,-1.48947322328285
