"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","meanlog_co2","sdlog_co2"
"199",205.4,209.5,201.3,1214,"mean",607,2427,1,"skew_normal","paleosols","Cleveland et al., 2008",7.10146999839305,0.696802970777391
"200",205.4,209.5,201.3,614,"mean",307,1227,1,"skew_normal","paleosols","Cleveland et al., 2008",6.41958759614905,0.696600489832653
"201",205.4,209.5,201.3,1267,"mean",634,2534,1,"skew_normal","paleosols","Cleveland et al., 2008",7.14480165765915,0.696613416131784
"202",205.4,209.5,201.3,773,"mean",387,1546,1,"skew_normal","paleosols","Cleveland et al., 2008",6.65092546108857,0.696360076933222
"203",205.4,209.5,201.3,341,"mean",171,682,1,"skew_normal","paleosols","Cleveland et al., 2008",5.83334660717306,0.695537802403353
"204",205.4,209.5,201.3,961,"mean",481,1922,1,"skew_normal","paleosols","Cleveland et al., 2008",6.868494429818,0.696487172967734
"205",205.4,209.5,201.3,1171,"mean",586,2342,1,"skew_normal","paleosols","Cleveland et al., 2008",7.06604016686734,0.696580910047666
"206",12.8,NA,NA,273,"mean",193,354,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",5.56599355101933,0.304993672668661
"207",13.1,NA,NA,370,"mean",187,553,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",5.77323330918846,0.54514595488357
"208",13.8,NA,NA,190,"mean",143,237,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",5.21545238569752,0.254015539222521
"209",14.4,NA,NA,132,"mean",86,178,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",4.8180654232728,0.365745129241007
"211",15.1,NA,NA,182,"mean",131,233,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",5.16311788838343,0.289525147362671
"212",15.6,NA,NA,473,"mean",425,521,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",6.15391960533889,0.102397937744535
"213",16,NA,NA,333,"mean",281,385,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",5.79579900181076,0.158321770218006
"214",16.1,NA,NA,289,"mean",231,346,1,"skew_normal","paleosols","Retallack, 2009b (updated by Breecker & Retallack, 2014)",5.64442824278976,0.20313633757515
"215",95.3,100.5,90,1307,"mean",654,2614,1,"skew_normal","paleosols","Leier et al., 2009",7.17587212282068,0.696625551529129
"216",113.4,126.3,100.5,591,"mean",296,1182,1,"skew_normal","paleosols","Leier et al., 2009",6.38266132614505,0.696160072246087
"217",200.4,NA,NA,1664,"mean",832,3328,1,"skew_normal","paleosols","Schaller et al., 2011",7.41697962138115,0.697010091893198
"218",200.5,NA,NA,2087,"mean",1044,4175,1,"skew_normal","paleosols","Schaller et al., 2011",7.64384220286377,0.696889678408845
"219",200.9,NA,NA,3515,"mean",1758,7031,1,"skew_normal","paleosols","Schaller et al., 2011",8.16500815022214,0.696938587021925
"220",200.9,NA,NA,3294,"mean",1647,6588,1,"skew_normal","paleosols","Schaller et al., 2011",8.09985791073758,0.697010091893198
"221",200.9,NA,NA,1299,"mean",650,2599,1,"skew_normal","paleosols","Schaller et al., 2011",7.16992719876559,0.696816675271651
"222",201,NA,NA,1571,"mean",785,3141,1,"skew_normal","paleosols","Schaller et al., 2011",7.35899010866053,0.697170189490957
"223",201.1,NA,NA,2472,"mean",1236,4944,1,"skew_normal","paleosols","Schaller et al., 2011",7.81278281857758,0.697010091893198
