,age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference,xi_co2,omega_co2,alpha_co2
100,68.5,69.5,67.5,10,mean,5,21,1,skew_normal,paleosols,"Nordt et al., 2003",20.51866349,11.06012364,-1.61052053
101,68.7,69.7,67.7,171,mean,85,341,1,skew_normal,paleosols,"Nordt et al., 2003",327.4951012,173.0215174,-1.474631222
102,68.8,69.8,67.8,110,mean,55,219,1,skew_normal,paleosols,"Nordt et al., 2003",210.4424758,110.9051424,-1.477884614
103,69,70,68,158,mean,79,317,1,skew_normal,paleosols,"Nordt et al., 2003",305.3953742,161.49616,-1.497478368
104,69.1,70.1,68.1,138,mean,69,277,1,skew_normal,paleosols,"Nordt et al., 2003",266.89976,141.1675821,-1.498634323
105,69.3,70.3,68.3,202,mean,101,404,1,skew_normal,paleosols,"Nordt et al., 2003",388.8045878,205.3180937,-1.489473223
106,69.4,70.4,68.4,145,mean,73,290,1,skew_normal,paleosols,"Nordt et al., 2003",279.4484474,147.266157,-1.498253938
107,69.5,70.5,68.5,345,mean,172,689,1,skew_normal,paleosols,"Nordt et al., 2003",662.4074554,349.880388,-1.482117226
108,69.7,70.7,68.7,204,mean,102,407,1,skew_normal,paleosols,"Nordt et al., 2003",391.3718679,206.4494594,-1.483237846
109,69.9,70.9,68.9,309,mean,155,618,1,skew_normal,paleosols,"Nordt et al., 2003",595.1120254,313.9602724,-1.493586124
110,70,71,69,375,mean,188,751,1,skew_normal,paleosols,"Nordt et al., 2003",723.4279462,381.9451552,-1.49624026
111,70.1,71.1,69.1,329,mean,164,657,1,skew_normal,paleosols,"Nordt et al., 2003",631.6109824,333.6175349,-1.481759468
112,70.2,71.2,69.2,122,mean,61,243,1,skew_normal,paleosols,"Nordt et al., 2003",233.5398906,123.1023112,-1.47902927
113,70.3,71.3,69.3,38,mean,19,76,1,skew_normal,paleosols,"Nordt et al., 2003",73.14145711,38.62419585,-1.489473223
114,70.5,71.5,69.5,126,mean,63,252,1,skew_normal,paleosols,"Nordt et al., 2003",242.5216736,128.069702,-1.489473223
115,71.4,72.4,70.4,254,mean,127,508,1,skew_normal,paleosols,"Nordt et al., 2003",488.8928975,258.1722565,-1.489473223
116,71.5,72.5,70.5,289,mean,145,578,1,skew_normal,paleosols,"Nordt et al., 2003",556.6164943,293.6317349,-1.493871243
117,71.6,72.6,70.6,294,mean,147,589,1,skew_normal,paleosols,"Nordt et al., 2003",567.165154,299.7302964,-1.493781641
118,280.7,282,279.3,133,mean,67,267,1,skew_normal,paleosols,"Tabor et al., 2004",257.630013,135.9688737,-1.508553044
119,273.7,275,272.3,133,mean,67,267,1,skew_normal,paleosols,"Tabor et al., 2004",257.630013,135.9688737,-1.508553044
120,83.3,100.5,66,740,mean,370,1480,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",1424.333639,752.1553928,-1.489473223
121,182.4,201.3,163.5,1113,mean,556,2225,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",2140.635788,1130.496193,-1.487193138
122,232.7,237,228.4,585,mean,293,1170,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",1126.350164,594.4939962,-1.491644035
123,242.1,247.1,237,605,mean,303,1210,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",1164.845675,614.8225237,-1.491572214
124,279.4,298.9,259.8,358,mean,179,715,1,skew_normal,paleosols,"Ghosh et al., 2005 (and 1995, 2001)",687.7875084,362.9792218,-1.485923917
125,219,228.4,209.5,880,mean,440,1760,1,skew_normal,paleosols,"Prochnow et al., 2006",1693.802165,894.4550617,-1.489473223
126,219,228.4,209.5,695,mean,348,1390,1,skew_normal,paleosols,"Prochnow et al., 2006",1338.075468,706.300895,-1.491300209
127,232.7,237,228.4,116,mean,58,232,1,skew_normal,paleosols,"Prochnow et al., 2006",223.2739217,117.90544,-1.489473223
128,246.1,247.1,245,580,mean,290,1160,1,skew_normal,paleosols,"Prochnow et al., 2006",1116.369609,589.5271998,-1.489473223
129,246.1,247.1,245,300,mean,150,600,1,skew_normal,paleosols,"Prochnow et al., 2006",577.4325562,304.927862,-1.489473223
130,92.2,93,91.3,772,mean,386,1544,1,skew_normal,paleosols,"Sandler, 2006",1485.926444,784.6810314,-1.489473223
131,300.2,NA,NA,882,mean,282,1347,1,skew_normal,paleosols,"Monta_ez et al., 2007",475.6799176,635.0595245,0.899172751
132,299.9,NA,NA,697,mean,185,1102,1,skew_normal,paleosols,"Monta_ez et al., 2007",360.0970231,542.2937337,0.866738005
133,299.7,NA,NA,399,mean,88,650,1,skew_normal,paleosols,"Monta_ez et al., 2007",200.6144624,329.5451488,0.833808517
134,298.6,NA,NA,515,mean,0,996,1,skew_normal,paleosols,"Monta_ez et al., 2007",296.3447201,540.1290525,0.529525389
135,297.9,NA,NA,288,mean,0,878,1,skew_normal,paleosols,"Monta_ez et al., 2007",838.5734432,598.0585092,-1.519943094
136,296.6,NA,NA,65,mean,0,304,1,skew_normal,paleosols,"Monta_ez et al., 2007",319.6892428,227.5354494,-2.295369917
137,295.9,NA,NA,47,mean,0,210,1,skew_normal,paleosols,"Monta_ez et al., 2007",219.2633762,156.062413,-2.21297658
138,294.3,NA,NA,50,mean,0,271,1,skew_normal,paleosols,"Monta_ez et al., 2007",290.7261886,206.9139644,-2.564681496
139,293.1,NA,NA,208,mean,0,468,1,skew_normal,paleosols,"Monta_ez et al., 2007",376.1870713,275.4601052,-0.848374174
140,290.5,NA,NA,600,mean,234,966,1,skew_normal,paleosols,"Monta_ez et al., 2007",605.7705581,368.0848477,-0.019651439
141,290.5,NA,NA,461,mean,144,678,1,skew_normal,paleosols,"Monta_ez et al., 2007",216.0199279,332.8607235,1.080228271
142,290.4,NA,NA,1700,mean,530,2497,1,skew_normal,paleosols,"Monta_ez et al., 2007",792.0725911,1228.036128,1.08698684
143,290.4,NA,NA,419,mean,131,616,1,skew_normal,paleosols,"Monta_ez et al., 2007",196.2892378,302.3908191,1.081267398
144,290.2,NA,NA,411,mean,96,538,1,skew_normal,paleosols,"Monta_ez et al., 2007",99.27084424,312.4612821,1.764176853
145,289.9,NA,NA,620,mean,102,770,1,skew_normal,paleosols,"Monta_ez et al., 2007",72.90913386,496.1609946,2.207025321
146,289.4,NA,NA,182,mean,11,353,1,skew_normal,paleosols,"Monta_ez et al., 2007",182.5788915,171.9539576,-0.004219372
147,288.9,NA,NA,183,mean,24,342,1,skew_normal,paleosols,"Monta_ez et al., 2007",183.234947,159.8862801,-0.001841701
148,287.4,NA,NA,397,mean,249,544,1,skew_normal,paleosols,"Monta_ez et al., 2007",369.0644576,150.8422152,0.234126353
149,287,NA,NA,1030,mean,676,1396,1,skew_normal,paleosols,"Monta_ez et al., 2007",1150.338603,379.7142375,-0.407564391
150,286.9,NA,NA,1449,mean,899,1999,1,skew_normal,paleosols,"Monta_ez et al., 2007",1450.454772,553.0670649,-0.003296696
151,285.8,NA,NA,774,mean,465,1084,1,skew_normal,paleosols,"Monta_ez et al., 2007",819.4281883,314.4542732,-0.182014406
